,cam,frame,id,x,y
236,1,92,0,1239,771
237,1,92,1,1097,773
238,2,92,0,1389,1139
239,2,92,1,1569,1149
240,1,93,0,1237,771
241,1,93,1,1097,769
242,2,93,0,1389,1139
243,2,93,1,1571,1151
244,1,95,0,1237,771
245,1,95,1,1097,771
246,2,95,0,1389,1137
247,2,95,1,1569,1149
248,1,97,0,1237,771
249,1,97,1,1097,771
250,2,97,0,1391,1139
251,2,97,1,1571,1149
252,1,98,0,1239,767
253,1,98,1,1099,771
254,2,98,0,1389,1139
255,2,98,1,1571,1149
256,1,99,0,1239,769
257,1,99,1,1097,771
258,2,99,0,1389,1143
259,2,99,1,1571,1149
260,1,101,0,1237,767
261,1,101,1,1097,769
262,2,101,0,1387,1139
263,2,101,1,1571,1149
264,1,102,0,1237,765
265,1,102,1,1097,769
266,2,102,0,1389,1141
267,2,102,1,1571,1151
268,1,103,0,1239,767
269,1,103,1,1097,769
270,2,103,0,1389,1143
271,2,103,1,1571,1147
272,1,104,0,1237,769
273,1,104,1,1097,769
274,2,104,0,1389,1143
275,2,104,1,1571,1149
276,1,106,0,1239,773
277,1,106,1,1097,771
278,2,106,0,1389,1143
279,2,106,1,1569,1149
280,1,107,0,1239,771
281,1,107,1,1097,771
282,2,107,0,1389,1143
283,2,107,1,1571,1151
284,1,108,0,1239,773
285,1,108,1,1097,771
286,2,108,0,1389,1141
287,2,108,1,1571,1151
288,1,109,0,1239,771
289,1,109,1,1097,771
290,2,109,0,1389,1145
291,2,109,1,1571,1151
292,1,110,0,1239,775
293,1,110,1,1097,771
294,2,110,0,1389,1145
295,2,110,1,1569,1151
296,1,111,0,1237,773
297,1,111,1,1097,771
298,2,111,0,1389,1141
299,2,111,1,1569,1147
300,1,112,0,1237,775
301,1,112,1,1097,771
302,2,112,0,1391,1133
303,2,112,1,1569,1151
304,1,113,0,1237,777
305,1,113,1,1097,771
306,2,113,0,1389,1139
307,2,113,1,1573,1149
308,1,115,0,1239,779
309,1,115,1,1097,773
310,2,115,0,1391,1141
311,2,115,1,1569,1149
312,1,117,0,1239,781
313,1,117,1,1097,773
314,2,117,0,1389,1141
315,2,117,1,1569,1151
316,1,118,0,1239,785
317,1,118,1,1097,773
318,2,118,0,1391,1141
319,2,118,1,1569,1149
320,1,119,0,1239,785
321,1,119,1,1097,773
322,2,119,0,1389,1141
323,2,119,1,1569,1149
324,1,120,0,1239,781
325,1,120,1,1097,773
326,2,120,0,1387,1143
327,2,120,1,1569,1149
328,1,121,0,1239,781
329,1,121,1,1099,771
330,2,121,0,1389,1139
331,2,121,1,1569,1151
332,1,122,0,1241,781
333,1,122,1,1097,771
334,2,122,0,1387,1149
335,2,122,1,1569,1151
336,1,123,0,1239,777
337,1,123,1,1097,771
338,2,123,0,1389,1145
339,2,123,1,1569,1149
340,1,124,0,1239,775
341,1,124,1,1099,771
342,2,124,0,1387,1145
343,2,124,1,1569,1151
344,1,125,0,1239,771
345,1,125,1,1097,771
346,2,125,0,1385,1147
347,2,125,1,1569,1151
348,1,126,0,1241,771
349,1,126,1,1099,773
350,2,126,0,1385,1149
351,2,126,1,1569,1147
352,1,127,0,1241,771
353,1,127,1,1099,773
354,2,127,0,1385,1145
355,2,127,1,1569,1145
356,1,128,0,1241,771
357,1,128,1,1099,775
358,2,128,0,1387,1149
359,2,128,1,1569,1147
360,1,130,0,1241,769
361,1,130,1,1099,777
362,2,130,0,1385,1143
363,2,130,1,1565,1141
364,1,131,0,1241,769
365,1,131,1,1099,779
366,2,131,0,1387,1143
367,2,131,1,1567,1143
368,1,132,0,1239,769
369,1,132,1,1099,781
370,2,132,0,1385,1149
371,2,132,1,1567,1139
372,1,133,0,1239,769
373,1,133,1,1099,783
374,2,133,0,1387,1149
375,2,133,1,1567,1141
376,1,134,0,1241,769
377,1,134,1,1099,785
378,2,134,0,1387,1149
379,2,134,1,1565,1141
380,1,135,0,1239,769
381,1,135,1,1099,787
382,2,135,0,1387,1149
383,2,135,1,1565,1137
384,1,136,0,1241,771
385,1,136,1,1101,787
386,2,136,0,1387,1145
387,2,136,1,1565,1137
388,1,137,0,1241,769
389,1,137,1,1101,787
390,2,137,0,1387,1149
391,2,137,1,1565,1137
392,1,138,0,1241,767
393,1,138,1,1101,789
394,2,138,0,1387,1151
395,2,138,1,1563,1135
396,1,139,0,1241,769
397,1,139,1,1101,787
398,2,139,0,1387,1151
399,2,139,1,1567,1139
400,1,140,0,1239,767
401,1,140,1,1099,785
402,2,140,0,1385,1153
403,2,140,1,1567,1139
404,1,141,0,1241,767
405,1,141,1,1101,785
406,2,141,0,1389,1147
407,2,141,1,1565,1141
408,1,143,0,1239,769
409,1,143,1,1099,779
410,2,143,0,1389,1147
411,2,143,1,1567,1141
412,1,144,0,1241,769
413,1,144,1,1099,777
414,2,144,0,1385,1145
415,2,144,1,1567,1143
416,1,146,0,1241,771
417,1,146,1,1099,773
418,2,146,0,1385,1145
419,2,146,1,1567,1143
420,1,147,0,1241,769
421,1,147,1,1099,771
422,2,147,0,1385,1149
423,2,147,1,1569,1145
424,1,148,0,1241,771
425,1,148,1,1101,767
426,2,148,0,1385,1147
427,2,148,1,1567,1147
428,1,149,0,1243,771
429,1,149,1,1101,765
430,2,149,0,1385,1149
431,2,149,1,1565,1145
432,1,150,0,1241,773
433,1,150,1,1101,763
434,2,150,0,1383,1147
435,2,150,1,1567,1145
436,1,152,0,1243,773
437,1,152,1,1101,761
438,2,152,0,1383,1149
439,2,152,1,1567,1143
440,1,153,0,1243,773
441,1,153,1,1101,761
442,2,153,0,1383,1149
443,2,153,1,1565,1143
444,1,154,0,1243,773
445,1,154,1,1101,761
446,2,154,0,1385,1147
447,2,154,1,1563,1141
448,1,155,0,1241,773
449,1,155,1,1101,761
450,2,155,0,1385,1147
451,2,155,1,1567,1141
452,1,156,0,1243,773
453,1,156,1,1101,761
454,2,156,0,1381,1143
455,2,156,1,1567,1141
456,1,157,0,1243,775
457,1,157,1,1101,761
458,2,157,0,1385,1139
459,2,157,1,1569,1139
460,1,158,0,1241,773
461,1,158,1,1101,761
462,2,158,0,1383,1143
463,2,158,1,1569,1139
464,1,159,0,1241,771
465,1,159,1,1101,761
466,2,159,0,1385,1141
467,2,159,1,1569,1139
468,1,160,0,1241,771
469,1,160,1,1099,759
470,2,160,0,1383,1135
471,2,160,1,1567,1133
472,1,161,0,1241,771
473,1,161,1,1099,759
474,2,161,0,1381,1127
475,2,161,1,1569,1127
476,1,162,0,1243,771
477,1,162,1,1099,757
478,2,162,0,1385,1123
479,2,162,1,1567,1119
480,1,163,0,1241,769
481,1,163,1,1099,755
482,2,163,0,1381,1119
483,2,163,1,1563,1113
484,1,164,0,1245,767
485,1,164,1,1099,755
486,2,164,0,1377,1107
487,2,164,1,1563,1103
488,1,165,0,1245,763
489,1,165,1,1101,753
490,2,165,0,1375,1101
491,2,165,1,1561,1099
492,1,166,0,1247,763
493,1,166,1,1103,751
494,2,166,0,1371,1093
495,2,166,1,1557,1087
496,1,167,0,1249,761
497,1,167,1,1105,749
498,2,167,0,1369,1085
499,2,167,1,1553,1081
500,1,168,0,1251,757
501,1,168,1,1107,749
502,2,168,0,1361,1077
503,2,168,1,1553,1073
504,1,169,0,1257,755
505,1,169,1,1109,749
506,2,169,0,1361,1067
507,2,169,1,1551,1063
508,1,170,0,1257,755
509,1,170,1,1111,749
510,2,170,0,1363,1059
511,2,170,1,1551,1053
512,1,171,0,1259,753
513,1,171,1,1111,749
514,2,171,0,1359,1045
515,2,171,1,1545,1045
516,1,172,0,1259,759
517,1,172,1,1111,747
518,2,172,0,1363,1035
519,2,172,1,1551,1031
520,1,173,0,1259,753
521,1,173,1,1111,749
522,2,173,0,1361,1031
523,2,173,1,1549,1021
524,1,174,0,1261,753
525,1,174,1,1109,749
526,2,174,0,1363,1015
527,2,174,1,1549,1015
528,1,175,0,1261,755
529,1,175,1,1109,751
530,2,175,0,1365,1005
531,2,175,1,1555,1003
532,1,176,0,1259,757
533,1,176,1,1107,751
534,2,176,0,1363,995
535,2,176,1,1553,991
536,1,177,0,1257,761
537,1,177,1,1107,753
538,2,177,0,1363,983
539,2,177,1,1553,983
540,1,178,0,1257,763
541,1,178,1,1105,755
542,2,178,0,1363,975
543,2,178,1,1553,967
544,1,179,0,1257,763
545,1,179,1,1105,757
546,2,179,0,1365,961
547,2,179,1,1555,957
548,1,180,0,1257,765
549,1,180,1,1103,757
550,2,180,0,1365,949
551,2,180,1,1555,949
552,1,181,0,1257,767
553,1,181,1,1103,759
554,2,181,0,1363,935
555,2,181,1,1555,937
556,1,182,0,1257,769
557,1,182,1,1101,761
558,2,182,0,1365,927
559,2,182,1,1553,923
560,1,183,0,1259,767
561,1,183,1,1101,761
562,2,183,0,1363,915
563,2,183,1,1551,915
564,1,184,0,1259,769
565,1,184,1,1101,765
566,2,184,0,1361,905
567,2,184,1,1549,903
568,1,185,0,1261,771
569,1,185,1,1101,763
570,2,185,0,1361,895
571,2,185,1,1549,893
572,1,186,0,1263,771
573,1,186,1,1101,765
574,2,186,0,1361,881
575,2,186,1,1549,879
576,1,187,0,1263,773
577,1,187,1,1101,765
578,2,187,0,1357,873
579,2,187,1,1547,871
580,1,188,0,1265,771
581,1,188,1,1103,765
582,2,188,0,1357,861
583,2,188,1,1547,859
584,1,189,0,1267,773
585,1,189,1,1103,765
586,2,189,0,1355,851
587,2,189,1,1545,849
588,1,190,0,1269,771
589,1,190,1,1103,765
590,2,190,0,1353,837
591,2,190,1,1543,841
592,1,192,0,1269,771
593,1,192,1,1103,763
594,2,192,0,1349,823
595,2,192,1,1541,823
596,1,193,0,1271,771
597,1,193,1,1105,765
598,2,193,0,1349,813
599,2,193,1,1543,815
600,1,194,0,1271,769
601,1,194,1,1107,765
602,2,194,0,1349,803
603,2,194,1,1539,807
604,1,195,0,1277,769
605,1,195,1,1105,765
606,2,195,0,1349,797
607,2,195,1,1537,801
608,1,196,0,1277,767
609,1,196,1,1107,765
610,2,196,0,1347,793
611,2,196,1,1537,793
612,1,197,0,1277,767
613,1,197,1,1107,767
614,2,197,0,1345,785
615,2,197,1,1537,787
616,1,198,0,1279,769
617,1,198,1,1107,767
618,2,198,0,1345,775
619,2,198,1,1535,781
620,1,200,0,1281,773
621,1,200,1,1109,769
622,2,200,0,1343,765
623,2,200,1,1533,769
624,1,201,0,1281,773
625,1,201,1,1109,771
626,2,201,0,1337,759
627,2,201,1,1531,765
628,1,202,0,1285,771
629,1,202,1,1111,773
630,2,202,0,1339,757
631,2,202,1,1529,759
632,1,203,0,1287,771
633,1,203,1,1111,773
634,2,203,0,1337,755
635,2,203,1,1527,755
636,1,204,0,1287,771
637,1,204,1,1113,773
638,2,204,0,1337,747
639,2,204,1,1527,751
640,1,205,0,1287,773
641,1,205,1,1115,773
642,2,205,0,1335,743
643,2,205,1,1525,747
644,1,206,0,1291,771
645,1,206,1,1115,775
646,2,206,0,1335,741
647,2,206,1,1525,745
648,1,207,0,1291,769
649,1,207,1,1115,775
650,2,207,0,1335,739
651,2,207,1,1523,743
652,1,208,0,1291,773
653,1,208,1,1115,777
654,2,208,0,1335,735
655,2,208,1,1525,739
656,1,209,0,1291,773
657,1,209,1,1115,777
658,2,209,0,1333,735
659,2,209,1,1523,739
660,1,210,0,1293,773
661,1,210,1,1115,777
662,2,210,0,1333,735
663,2,210,1,1525,737
664,1,211,0,1291,777
665,1,211,1,1115,779
666,2,211,0,1337,731
667,2,211,1,1525,733
668,1,212,0,1291,777
669,1,212,1,1113,779
670,2,212,0,1337,727
671,2,212,1,1525,733
672,1,214,0,1289,779
673,1,214,1,1113,783
674,2,214,0,1337,727
675,2,214,1,1527,727
676,1,215,0,1287,781
677,1,215,1,1111,783
678,2,215,0,1335,723
679,2,215,1,1527,727
680,1,216,0,1287,779
681,1,216,1,1111,785
