,3d_x,3d_y,3d_z,cam1_proj_x,cam1_proj_y,cam1_x,cam1_y,cam2_proj_x,cam2_proj_y,cam2_x,cam2_y,err,err1,err2,frame,id
0,18.893340134307472,9.891762701856631,18.272007239995173,1237.5950891882353,770.9851445095647,1237.0,771.0,1389.76590499742,1139.0035469659256,1389.0,1139.0,1.3611877921575093,0.5952745816433183,0.765913210514191,1.0,0.0
1,22.76013348732094,10.181537851400586,18.44604190071145,1096.7909743604528,770.9856172713722,1097.0,771.0,1570.7323351957145,1149.01953912657,1571.0,1149.0,0.47789690190812106,0.20951988180339984,0.26837702010472125,1.0,1.0
2,18.893340134307472,9.891762701856631,18.272007239995173,1237.5950891882353,770.9851445095647,1237.0,771.0,1389.76590499742,1139.0035469659256,1389.0,1139.0,1.3611877921575093,0.5952745816433183,0.765913210514191,2.0,0.0
3,22.76722426650099,10.127892157491882,18.463097856734606,1096.7232778708699,772.9809826694091,1097.0,773.0,1570.6461154374397,1149.0258030477257,1571.0,1149.0,0.6321988427011468,0.2773748287302087,0.3548240139709381,2.0,1.0
4,18.866065353784276,9.889098930703849,18.272701710999954,1238.595716743707,771.009982283428,1239.0,771.0,1388.4796671845872,1138.9969008567157,1389.0,1139.0,0.9247485200471932,0.40440647534538016,0.520342044701813,4.0,0.0
5,22.76331637654863,10.184265205106744,18.49124131458704,1096.830087097945,770.9883247265617,1097.0,771.0,1570.7822668878252,1151.0158855270847,1571.0,1151.0,0.3886253897283763,0.17031355288010988,0.2183118368482664,4.0,1.0
6,18.866065353784276,9.889098930703849,18.272701710999954,1238.595716743707,771.009982283428,1239.0,771.0,1388.4796671845872,1138.9969008567157,1389.0,1139.0,0.9247485200471932,0.40440647534538016,0.520342044701813,5.0,0.0
7,22.76331637654863,10.184265205106744,18.49124131458704,1096.830087097945,770.9883247265617,1097.0,771.0,1570.7822668878252,1151.0158855270847,1571.0,1151.0,0.3886253897283763,0.17031355288010988,0.2183118368482664,5.0,1.0
8,18.893340134307472,9.891762701856631,18.272007239995173,1237.5950891882353,770.9851445095647,1237.0,771.0,1389.76590499742,1139.0035469659256,1389.0,1139.0,1.3611877921575093,0.5952745816433183,0.765913210514191,6.0,0.0
9,22.77041809936955,10.130568970455943,18.508381687871655,1096.7624786515792,772.9836992887467,1097.0,773.0,1570.6960361480462,1151.0221577196726,1571.0,1151.0,0.5428504226935551,0.23808003726271892,0.3047703854308362,6.0,1.0
10,18.866065353784276,9.889098930703849,18.272701710999954,1238.595716743707,771.009982283428,1239.0,771.0,1388.4796671845872,1138.9969008567157,1389.0,1139.0,0.9247485200471932,0.40440647534538016,0.520342044701813,7.0,0.0
11,22.77041809936955,10.130568970455943,18.508381687871655,1096.7624786515792,772.9836992887467,1097.0,773.0,1570.6960361480462,1151.0221577196726,1571.0,1151.0,0.5428504226935551,0.23808003726271892,0.3047703854308362,7.0,1.0
12,18.866065353784276,9.889098930703849,18.272701710999954,1238.595716743707,771.009982283428,1239.0,771.0,1388.4796671845872,1138.9969008567157,1389.0,1139.0,0.9247485200471932,0.40440647534538016,0.520342044701813,8.0,0.0
13,22.76331637654863,10.184265205106744,18.49124131458704,1096.830087097945,770.9883247265617,1097.0,771.0,1570.7822668878252,1151.0158855270847,1571.0,1151.0,0.3886253897283763,0.17031355288010988,0.2183118368482664,8.0,1.0
14,18.845386330513072,9.890686529482586,18.318077233450758,1239.3620429725183,770.9906098718055,1239.0,771.0,1387.4663347640376,1141.002684473236,1387.0,1141.0,0.8285072161921989,0.3621647255841228,0.4663424906080761,9.0,0.0
15,22.76331637654863,10.184265205106744,18.49124131458704,1096.830087097945,770.9883247265617,1097.0,771.0,1570.7822668878252,1151.0158855270847,1571.0,1151.0,0.3886253897283763,0.17031355288010988,0.2183118368482664,9.0,1.0
16,18.893340134307472,9.891762701856631,18.272007239995173,1237.5950891882353,770.9851445095647,1237.0,771.0,1389.76590499742,1139.0035469659256,1389.0,1139.0,1.3611877921575093,0.5952745816433183,0.765913210514191,10.0,0.0
17,22.76331637654863,10.184265205106744,18.49124131458704,1096.830087097945,770.9883247265617,1097.0,771.0,1570.7822668878252,1151.0158855270847,1571.0,1151.0,0.3886253897283763,0.17031355288010988,0.2183118368482664,10.0,1.0
18,18.893340134307472,9.891762701856631,18.272007239995173,1237.5950891882353,770.9851445095647,1237.0,771.0,1389.76590499742,1139.0035469659256,1389.0,1139.0,1.3611877921575093,0.5952745816433183,0.765913210514191,11.0,0.0
19,22.76331637654863,10.184265205106744,18.49124131458704,1096.830087097945,770.9883247265617,1097.0,771.0,1570.7822668878252,1151.0158855270847,1571.0,1151.0,0.3886253897283763,0.17031355288010988,0.2183118368482664,11.0,1.0
20,18.865482778310227,9.886506583495567,18.227826181096262,1238.605713362234,771.0097374216002,1239.0,771.0,1388.4928958578676,1136.9969723405054,1389.0,1137.0,0.9015200389419189,0.3944068585867824,0.5071131803551365,14.0,0.0
21,22.77041809936955,10.130568970455943,18.508381687871655,1096.7624786515792,772.9836992887467,1097.0,773.0,1570.6960361480462,1151.0221577196726,1571.0,1151.0,0.5428504226935551,0.23808003726271892,0.3047703854308362,14.0,1.0
22,18.865482778310227,9.886506583495567,18.227826181096262,1238.605713362234,771.0097374216002,1239.0,771.0,1388.4928958578676,1136.9969723405054,1389.0,1137.0,0.9015200389419189,0.3944068585867824,0.5071131803551365,15.0,0.0
